Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -6044.843    -6044.843        0.000     0.0
0.0005        -6044.768    -6044.845        0.077     0.6
0.0010        -6044.693    -6044.852        0.160     1.3
0.0015        -6044.619    -6044.864        0.245     1.9
0.0020        -6044.542    -6044.879        0.337     2.7
0.0025        -6044.485    -6044.898        0.413     3.3
0.0030        -6044.414    -6044.921        0.507     4.0
0.0035        -6044.339    -6044.947        0.608     4.8
0.0040        -6044.260    -6044.977        0.716     5.7
0.0045        -6044.191    -6045.009        0.818     6.5
0.0050        -6044.124    -6045.044        0.921     7.3
0.0055        -6044.033    -6045.082        1.050     8.3
0.0060        -6043.959    -6045.124        1.165     9.2
0.0065        -6043.892    -6045.167        1.275    10.1
0.0070        -6043.794    -6045.213        1.419    11.3
0.0075        -6043.744    -6045.260        1.516    12.0
0.0080        -6043.683    -6045.308        1.624    12.9
0.0085        -6043.633    -6045.356        1.723    13.7
0.0090        -6043.527    -6045.405        1.878    14.9
0.0095        -6043.435    -6045.454        2.020    16.0
0.0100        -6043.380    -6045.504        2.124    16.9
0.0105        -6043.296    -6045.553        2.257    17.9
0.0110        -6043.226    -6045.601        2.375    18.8
0.0115        -6043.173    -6045.648        2.475    19.6
0.0120        -6043.093    -6045.693        2.600    20.6
0.0125        -6043.054    -6045.737        2.683    21.3
0.0130        -6042.976    -6045.777        2.802    22.2
0.0135        -6042.915    -6045.815        2.900    23.0
0.0140        -6042.890    -6045.850        2.960    23.5
0.0145        -6042.808    -6045.881        3.073    24.4
0.0150        -6042.700    -6045.911        3.211    25.5
0.0155        -6042.636    -6045.936        3.300    26.2
0.0160        -6042.563    -6045.958        3.396    26.9
0.0165        -6042.498    -6045.977        3.479    27.6
0.0170        -6042.440    -6045.991        3.551    28.2
0.0175        -6042.359    -6046.001        3.643    28.9
0.0180        -6042.313    -6046.007        3.694    29.3
0.0185        -6042.227    -6046.008        3.782    30.0
0.0190        -6042.145    -6046.005        3.860    30.6
0.0195        -6042.100    -6045.998        3.898    30.9
0.0200        -6042.015    -6045.986        3.971    31.5
0.0205        -6041.962    -6045.970        4.009    31.8
0.0210        -6041.880    -6045.951        4.071    32.3
0.0215        -6041.851    -6045.927        4.077    32.3
0.0220        -6041.787    -6045.899        4.112    32.6
0.0225        -6041.723    -6045.867        4.145    32.9
0.0230        -6041.613    -6045.832        4.220    33.5
0.0235        -6041.540    -6045.793        4.253    33.7
0.0240        -6041.479    -6045.751        4.272    33.9
0.0245        -6041.422    -6045.706        4.284    34.0
0.0250        -6041.300    -6045.658        4.358    34.6
0.0255        -6041.264    -6045.607        4.343    34.5
0.0260        -6041.246    -6045.554        4.308    34.2
0.0265        -6041.180    -6045.498        4.318    34.3
0.0270        -6041.150    -6045.442        4.292    34.1
0.0275        -6041.065    -6045.384        4.319    34.3
0.0280        -6041.004    -6045.325        4.321    34.3
0.0285        -6040.965    -6045.266        4.301    34.1
0.0290        -6040.883    -6045.206        4.323    34.3
0.0295        -6040.815    -6045.147        4.331    34.4
0.0300        -6040.738    -6045.087        4.348    34.5
0.0305        -6040.674    -6045.026        4.353    34.5
0.0310        -6040.578    -6044.966        4.388    34.8
0.0315        -6040.528    -6044.908        4.379    34.7
0.0320        -6040.512    -6044.850        4.338    34.4
0.0325        -6040.448    -6044.792        4.344    34.5
0.0330        -6040.346    -6044.736        4.390    34.8
0.0335        -6040.279    -6044.682        4.403    34.9
0.0340        -6040.226    -6044.628        4.402    34.9
0.0345        -6040.158    -6044.578        4.419    35.1
0.0350        -6040.072    -6044.528        4.455    35.4
0.0355        -6040.040    -6044.479        4.439    35.2
0.0360        -6040.049    -6044.433        4.384    34.8
0.0365        -6039.956    -6044.389        4.434    35.2
0.0370        -6039.902    -6044.347        4.445    35.3
0.0375        -6039.868    -6044.307        4.440    35.2
0.0380        -6039.817    -6044.269        4.452    35.3
0.0385        -6039.787    -6044.233        4.446    35.3
0.0390        -6039.723    -6044.199        4.476    35.5
0.0395        -6039.653    -6044.166        4.514    35.8
0.0400        -6039.573    -6044.136        4.563    36.2
0.0405        -6039.493    -6044.108        4.615    36.6
0.0410        -6039.418    -6044.082        4.665    37.0
0.0415        -6039.340    -6044.059        4.719    37.4
0.0420        -6039.257    -6044.038        4.782    37.9
0.0425        -6039.203    -6044.019        4.817    38.2
0.0430        -6039.102    -6044.002        4.900    38.9
0.0435        -6039.000    -6043.986        4.986    39.6
0.0440        -6038.950    -6043.971        5.021    39.8
0.0445        -6038.904    -6043.957        5.053    40.1
0.0450        -6038.821    -6043.945        5.124    40.7
