Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -6045.689    -6045.689        0.000     0.0
0.0050        -6045.516    -6046.932        1.416    11.2
0.0100        -6045.373    -6048.270        2.898    23.0
0.0150        -6045.257    -6048.462        3.205    25.4
0.0200        -6045.062    -6048.268        3.207    25.4
0.0250        -6044.957    -6048.138        3.181    25.2
0.0300        -6044.881    -6048.088        3.207    25.4
0.0350        -6044.777    -6047.849        3.073    24.4
0.0400        -6044.672    -6047.448        2.775    22.0
0.0450        -6044.531    -6047.126        2.595    20.6
0.0500        -6044.395    -6047.008        2.613    20.7
0.0550        -6044.189    -6047.088        2.899    23.0
0.0600        -6044.075    -6047.231        3.155    25.0
0.0650        -6043.925    -6047.294        3.368    26.7
0.0700        -6043.758    -6047.288        3.530    28.0
0.0750        -6043.629    -6047.288        3.659    29.0
0.0800        -6043.486    -6047.297        3.811    30.2
0.0850        -6043.327    -6047.297        3.971    31.5
0.0900        -6043.247    -6047.242        3.994    31.7
0.0950        -6043.165    -6047.106        3.941    31.3
0.1000        -6043.038    -6046.892        3.854    30.6
0.1050        -6042.941    -6046.659        3.719    29.5
0.1100        -6042.751    -6046.510        3.759    29.8
0.1150        -6042.623    -6046.474        3.851    30.6
0.1200        -6042.545    -6046.507        3.962    31.4
0.1250        -6042.437    -6046.528        4.092    32.5
0.1300        -6042.332    -6046.464        4.132    32.8
0.1350        -6042.259    -6046.311        4.052    32.2
0.1400        -6042.081    -6046.109        4.027    32.0
0.1450        -6041.943    -6045.891        3.948    31.3
0.1500        -6041.874    -6045.667        3.794    30.1
0.1550        -6041.789    -6045.492        3.703    29.4
0.1600        -6041.657    -6045.403        3.746    29.7
0.1650        -6041.539    -6045.428        3.890    30.9
0.1700        -6041.417    -6045.535        4.118    32.7
0.1750        -6041.330    -6045.642        4.312    34.2
0.1800        -6041.199    -6045.699        4.500    35.7
0.1850        -6041.107    -6045.699        4.592    36.4
0.1900        -6040.980    -6045.639        4.659    37.0
0.1950        -6040.880    -6045.534        4.654    36.9
0.2000        -6040.767    -6045.436        4.669    37.0
0.2050        -6040.739    -6045.382        4.643    36.8
0.2100        -6040.647    -6045.345        4.699    37.3
0.2150        -6040.583    -6045.300        4.717    37.4
0.2200        -6040.464    -6045.250        4.786    38.0
0.2250        -6040.320    -6045.217        4.898    38.9
0.2300        -6040.183    -6045.219        5.036    40.0
0.2350        -6040.064    -6045.249        5.185    41.1
0.2400        -6039.945    -6045.309        5.364    42.6
0.2450        -6039.930    -6045.380        5.450    43.2
0.2500        -6039.853    -6045.428        5.575    44.2
0.2550        -6039.796    -6045.415        5.619    44.6
0.2600        -6039.784    -6045.329        5.544    44.0
0.2650        -6039.734    -6045.220        5.486    43.5
0.2700        -6039.668    -6045.117        5.449    43.2
0.2750        -6039.599    -6045.040        5.441    43.2
0.2800        -6039.507    -6045.008        5.501    43.6
0.2850        -6039.445    -6044.996        5.551    44.0
0.2900        -6039.374    -6044.994        5.620    44.6
0.2950        -6039.298    -6044.997        5.699    45.2
0.3000        -6039.233    -6044.984        5.752    45.6
0.3050        -6039.147    -6044.923        5.776    45.8
0.3100        -6039.061    -6044.818        5.757    45.7
0.3150        -6039.043    -6044.717        5.674    45.0
0.3200        -6038.947    -6044.645        5.698    45.2
0.3250        -6038.922    -6044.605        5.682    45.1
0.3300        -6038.887    -6044.592        5.705    45.3
0.3350        -6038.810    -6044.581        5.771    45.8
0.3400        -6038.764    -6044.555        5.791    46.0
0.3450        -6038.616    -6044.510        5.894    46.8
0.3500        -6038.510    -6044.439        5.929    47.0
0.3550        -6038.442    -6044.328        5.886    46.7
0.3600        -6038.353    -6044.186        5.833    46.3
0.3650        -6038.334    -6044.027        5.693    45.2
0.3700        -6038.242    -6043.894        5.652    44.8
