Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -6045.444    -6045.444        0.000     0.0
0.0005        -6045.369    -6045.447        0.078     0.6
0.0010        -6045.301    -6045.456        0.155     1.2
0.0015        -6045.232    -6045.470        0.238     1.9
0.0020        -6045.157    -6045.489        0.332     2.6
0.0025        -6045.080    -6045.513        0.433     3.4
0.0030        -6045.005    -6045.542        0.537     4.3
0.0035        -6044.929    -6045.575        0.646     5.1
0.0040        -6044.876    -6045.613        0.737     5.8
0.0045        -6044.816    -6045.653        0.837     6.6
0.0050        -6044.753    -6045.696        0.943     7.5
0.0055        -6044.679    -6045.742        1.063     8.4
0.0060        -6044.608    -6045.791        1.183     9.4
0.0065        -6044.555    -6045.841        1.287    10.2
0.0070        -6044.490    -6045.893        1.402    11.1
0.0075        -6044.426    -6045.945        1.519    12.1
0.0080        -6044.357    -6045.998        1.641    13.0
0.0085        -6044.269    -6046.052        1.783    14.1
0.0090        -6044.189    -6046.105        1.916    15.2
0.0095        -6044.133    -6046.158        2.026    16.1
0.0100        -6044.034    -6046.211        2.177    17.3
0.0105        -6043.943    -6046.261        2.319    18.4
0.0110        -6043.881    -6046.311        2.430    19.3
0.0115        -6043.804    -6046.358        2.555    20.3
0.0120        -6043.754    -6046.403        2.650    21.0
0.0125        -6043.638    -6046.446        2.808    22.3
0.0130        -6043.587    -6046.485        2.898    23.0
0.0135        -6043.510    -6046.521        3.010    23.9
0.0140        -6043.420    -6046.553        3.134    24.9
0.0145        -6043.338    -6046.582        3.244    25.7
0.0150        -6043.281    -6046.607        3.326    26.4
0.0155        -6043.205    -6046.627        3.422    27.2
0.0160        -6043.108    -6046.643        3.535    28.1
0.0165        -6043.070    -6046.655        3.585    28.4
0.0170        -6043.023    -6046.663        3.640    28.9
0.0175        -6042.981    -6046.667        3.685    29.2
0.0180        -6042.901    -6046.667        3.765    29.9
0.0185        -6042.830    -6046.662        3.833    30.4
0.0190        -6042.767    -6046.654        3.887    30.8
0.0195        -6042.708    -6046.642        3.934    31.2
0.0200        -6042.652    -6046.625        3.973    31.5
0.0205        -6042.570    -6046.606        4.036    32.0
0.0210        -6042.491    -6046.582        4.092    32.5
0.0215        -6042.453    -6046.555        4.102    32.6
0.0220        -6042.444    -6046.525        4.081    32.4
0.0225        -6042.369    -6046.493        4.124    32.7
0.0230        -6042.285    -6046.458        4.173    33.1
0.0235        -6042.224    -6046.421        4.197    33.3
0.0240        -6042.194    -6046.382        4.188    33.2
0.0245        -6042.149    -6046.341        4.192    33.3
0.0250        -6042.101    -6046.299        4.198    33.3
0.0255        -6042.035    -6046.256        4.222    33.5
0.0260        -6041.948    -6046.213        4.265    33.8
0.0265        -6041.896    -6046.170        4.274    33.9
0.0270        -6041.811    -6046.125        4.314    34.2
0.0275        -6041.749    -6046.080        4.331    34.4
0.0280        -6041.680    -6046.034        4.354    34.5
0.0285        -6041.620    -6045.986        4.366    34.6
0.0290        -6041.547    -6045.937        4.390    34.8
0.0295        -6041.485    -6045.887        4.402    34.9
0.0300        -6041.421    -6045.836        4.414    35.0
0.0305        -6041.390    -6045.783        4.393    34.9
0.0310        -6041.303    -6045.730        4.427    35.1
0.0315        -6041.244    -6045.676        4.432    35.2
0.0320        -6041.164    -6045.621        4.457    35.4
0.0325        -6041.120    -6045.566        4.446    35.3
0.0330        -6041.047    -6045.511        4.465    35.4
0.0335        -6040.987    -6045.456        4.469    35.5
0.0340        -6040.902    -6045.401        4.499    35.7
