Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -6052.199    -6052.199        0.000     0.0
0.0005        -6052.124    -6052.201        0.077     0.6
0.0010        -6052.045    -6052.207        0.162     1.3
0.0015        -6051.965    -6052.217        0.252     2.0
0.0020        -6051.886    -6052.230        0.344     2.7
0.0025        -6051.816    -6052.247        0.431     3.4
0.0030        -6051.744    -6052.266        0.523     4.1
0.0035        -6051.668    -6052.289        0.621     4.9
0.0040        -6051.594    -6052.315        0.721     5.7
0.0045        -6051.517    -6052.343        0.826     6.5
0.0050        -6051.445    -6052.374        0.930     7.4
0.0055        -6051.351    -6052.407        1.056     8.4
0.0060        -6051.272    -6052.441        1.169     9.3
0.0065        -6051.167    -6052.476        1.309    10.4
0.0070        -6051.125    -6052.512        1.388    11.0
0.0075        -6051.061    -6052.549        1.488    11.8
0.0080        -6050.963    -6052.586        1.622    12.9
0.0085        -6050.879    -6052.623        1.744    13.8
0.0090        -6050.812    -6052.659        1.847    14.6
0.0095        -6050.737    -6052.695        1.958    15.5
0.0100        -6050.651    -6052.730        2.079    16.5
0.0105        -6050.596    -6052.764        2.168    17.2
0.0110        -6050.559    -6052.797        2.238    17.7
0.0115        -6050.499    -6052.828        2.329    18.5
0.0120        -6050.412    -6052.858        2.446    19.4
0.0125        -6050.352    -6052.885        2.533    20.1
0.0130        -6050.285    -6052.910        2.625    20.8
0.0135        -6050.191    -6052.933        2.742    21.7
0.0140        -6050.146    -6052.953        2.807    22.3
0.0145        -6050.056    -6052.970        2.914    23.1
0.0150        -6050.000    -6052.985        2.985    23.7
0.0155        -6049.904    -6052.996        3.092    24.5
0.0160        -6049.847    -6053.004        3.157    25.0
0.0165        -6049.787    -6053.009        3.222    25.5
0.0170        -6049.718    -6053.011        3.293    26.1
0.0175        -6049.658    -6053.009        3.351    26.6
0.0180        -6049.593    -6053.003        3.410    27.0
0.0185        -6049.544    -6052.994        3.450    27.3
0.0190        -6049.465    -6052.982        3.517    27.9
0.0195        -6049.380    -6052.967        3.586    28.4
0.0200        -6049.313    -6052.948        3.635    28.8
0.0205        -6049.242    -6052.926        3.684    29.2
0.0210        -6049.194    -6052.900        3.707    29.4
0.0215        -6049.110    -6052.872        3.761    29.8
0.0220        -6049.042    -6052.841        3.799    30.1
0.0225        -6049.009    -6052.808        3.799    30.1
0.0230        -6048.956    -6052.773        3.816    30.2
0.0235        -6048.869    -6052.736        3.867    30.7
0.0240        -6048.803    -6052.697        3.894    30.9
0.0245        -6048.738    -6052.656        3.918    31.1
0.0250        -6048.656    -6052.614        3.958    31.4
0.0255        -6048.592    -6052.569        3.977    31.5
0.0260        -6048.568    -6052.523        3.955    31.3
0.0265        -6048.488    -6052.477        3.989    31.6
0.0270        -6048.416    -6052.429        4.013    31.8
0.0275        -6048.352    -6052.382        4.030    31.9
0.0280        -6048.304    -6052.333        4.029    31.9
0.0285        -6048.241    -6052.283        4.042    32.0
0.0290        -6048.133    -6052.232        4.098    32.5
0.0295        -6048.045    -6052.181        4.136    32.8
0.0300        -6047.982    -6052.129        4.148    32.9
0.0305        -6047.885    -6052.078        4.193    33.2
0.0310        -6047.825    -6052.027        4.202    33.3
0.0315        -6047.751    -6051.976        4.224    33.5
0.0320        -6047.702    -6051.925        4.223    33.5
0.0325        -6047.621    -6051.875        4.254    33.7
0.0330        -6047.562    -6051.824        4.262    33.8
0.0335        -6047.510    -6051.775        4.265    33.8
0.0340        -6047.433    -6051.727        4.294    34.0
0.0345        -6047.351    -6051.679        4.328    34.3
0.0350        -6047.311    -6051.632        4.321    34.3
0.0355        -6047.252    -6051.586        4.334    34.4
0.0360        -6047.184    -6051.541        4.356    34.5
0.0365        -6047.096    -6051.495        4.400    34.9
0.0370        -6047.003    -6051.451        4.448    35.3
0.0375        -6046.905    -6051.406        4.501    35.7
0.0380        -6046.844    -6051.362        4.518    35.8
0.0385        -6046.758    -6051.319        4.561    36.1
0.0390        -6046.701    -6051.277        4.577    36.3
0.0395        -6046.639    -6051.237        4.599    36.5
0.0400        -6046.531    -6051.199        4.668    37.0
0.0405        -6046.462    -6051.160        4.698    37.2
0.0410        -6046.411    -6051.124        4.713    37.4
0.0415        -6046.352    -6051.089        4.737    37.5
0.0420        -6046.303    -6051.056        4.753    37.7
0.0425        -6046.247    -6051.024        4.777    37.9
0.0430        -6046.239    -6050.994        4.755    37.7
0.0435        -6046.131    -6050.966        4.835    38.3
0.0440        -6046.055    -6050.940        4.885    38.7
0.0445        -6046.008    -6050.917        4.909    38.9
0.0450        -6045.935    -6050.895        4.960    39.3
0.0455        -6045.850    -6050.875        5.025    39.8
0.0460        -6045.790    -6050.854        5.064    40.1
0.0465        -6045.719    -6050.835        5.117    40.6
0.0470        -6045.618    -6050.817        5.199    41.2
0.0475        -6045.562    -6050.800        5.239    41.5
0.0480        -6045.516    -6050.784        5.268    41.8
0.0485        -6045.444    -6050.768        5.324    42.2
0.0490        -6045.381    -6050.753        5.372    42.6
0.0495        -6045.352    -6050.737        5.384    42.7
0.0500        -6045.271    -6050.721        5.450    43.2
