Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -6049.321    -6049.321        0.000     0.0
0.0005        -6049.247    -6049.321        0.074     0.6
0.0010        -6049.175    -6049.322        0.146     1.2
0.0015        -6049.106    -6049.322        0.216     1.7
0.0020        -6049.030    -6049.323        0.294     2.3
0.0025        -6048.960    -6049.325        0.365     2.9
0.0030        -6048.880    -6049.326        0.446     3.5
0.0035        -6048.819    -6049.327        0.508     4.0
0.0040        -6048.741    -6049.328        0.587     4.7
0.0045        -6048.684    -6049.329        0.645     5.1
0.0050        -6048.609    -6049.329        0.720     5.7
0.0055        -6048.552    -6049.328        0.777     6.2
0.0060        -6048.472    -6049.328        0.855     6.8
0.0065        -6048.387    -6049.326        0.939     7.4
0.0070        -6048.301    -6049.324        1.024     8.1
0.0075        -6048.240    -6049.322        1.082     8.6
0.0080        -6048.155    -6049.318        1.163     9.2
0.0085        -6048.069    -6049.313        1.244     9.9
0.0090        -6047.995    -6049.308        1.313    10.4
0.0095        -6047.907    -6049.301        1.395    11.1
0.0100        -6047.842    -6049.294        1.452    11.5
0.0105        -6047.774    -6049.285        1.511    12.0
0.0110        -6047.703    -6049.275        1.572    12.5
0.0115        -6047.622    -6049.264        1.641    13.0
0.0120        -6047.550    -6049.252        1.701    13.5
0.0125        -6047.487    -6049.239        1.752    13.9
0.0130        -6047.414    -6049.225        1.811    14.4
0.0135        -6047.335    -6049.210        1.875    14.9
0.0140        -6047.271    -6049.193        1.922    15.3
0.0145        -6047.179    -6049.175        1.996    15.8
0.0150        -6047.088    -6049.156        2.068    16.4
0.0155        -6047.007    -6049.135        2.128    16.9
0.0160        -6046.965    -6049.113        2.148    17.0
0.0165        -6046.913    -6049.090        2.178    17.3
0.0170        -6046.830    -6049.067        2.236    17.7
0.0175        -6046.745    -6049.041        2.296    18.2
0.0180        -6046.712    -6049.015        2.303    18.3
0.0185        -6046.630    -6048.987        2.357    18.7
0.0190        -6046.530    -6048.958        2.428    19.3
0.0195        -6046.462    -6048.929        2.467    19.6
0.0200        -6046.403    -6048.898        2.494    19.8
0.0205        -6046.350    -6048.866        2.516    20.0
0.0210        -6046.287    -6048.834        2.547    20.2
0.0215        -6046.247    -6048.801        2.554    20.3
0.0220        -6046.180    -6048.767        2.587    20.5
0.0225        -6046.073    -6048.733        2.660    21.1
0.0230        -6046.037    -6048.698        2.660    21.1
0.0235        -6045.962    -6048.663        2.701    21.4
0.0240        -6045.885    -6048.628        2.743    21.8
0.0245        -6045.809    -6048.592        2.783    22.1
0.0250        -6045.736    -6048.555        2.819    22.4
0.0255        -6045.657    -6048.518        2.861    22.7
0.0260        -6045.573    -6048.481        2.908    23.1
0.0265        -6045.547    -6048.443        2.896    23.0
0.0270        -6045.490    -6048.405        2.915    23.1
0.0275        -6045.447    -6048.366        2.920    23.2
0.0280        -6045.397    -6048.328        2.931    23.3
0.0285        -6045.317    -6048.289        2.972    23.6
0.0290        -6045.257    -6048.250        2.993    23.8
0.0295        -6045.192    -6048.210        3.018    24.0
0.0300        -6045.118    -6048.171        3.052    24.2
0.0305        -6045.029    -6048.130        3.102    24.6
0.0310        -6044.948    -6048.089        3.142    24.9
0.0315        -6044.857    -6048.049        3.192    25.3
0.0320        -6044.770    -6048.009        3.239    25.7
0.0325        -6044.672    -6047.968        3.296    26.2
0.0330        -6044.598    -6047.928        3.330    26.4
0.0335        -6044.499    -6047.888        3.389    26.9
0.0340        -6044.442    -6047.848        3.406    27.0
0.0345        -6044.354    -6047.808        3.454    27.4
0.0350        -6044.276    -6047.769        3.493    27.7
0.0355        -6044.204    -6047.731        3.527    28.0
0.0360        -6044.153    -6047.694        3.541    28.1
0.0365        -6044.103    -6047.658        3.555    28.2
0.0370        -6044.032    -6047.623        3.590    28.5
0.0375        -6043.977    -6047.588        3.611    28.7
0.0380        -6043.910    -6047.555        3.645    28.9
0.0385        -6043.874    -6047.523        3.649    29.0
0.0390        -6043.810    -6047.492        3.681    29.2
0.0395        -6043.728    -6047.461        3.734    29.6
0.0400        -6043.676    -6047.432        3.757    29.8
0.0405        -6043.609    -6047.403        3.794    30.1
0.0410        -6043.542    -6047.374        3.832    30.4
0.0415        -6043.473    -6047.346        3.873    30.7
0.0420        -6043.443    -6047.318        3.875    30.7
0.0425        -6043.374    -6047.290        3.916    31.1
0.0430        -6043.291    -6047.262        3.971    31.5
0.0435        -6043.211    -6047.234        4.023    31.9
0.0440        -6043.139    -6047.205        4.066    32.3
0.0445        -6043.075    -6047.177        4.102    32.5
0.0450        -6043.018    -6047.150        4.132    32.8
0.0455        -6042.955    -6047.123        4.167    33.1
0.0460        -6042.873    -6047.096        4.223    33.5
0.0465        -6042.797    -6047.069        4.271    33.9
0.0470        -6042.725    -6047.040        4.315    34.2
0.0475        -6042.634    -6047.012        4.377    34.7
0.0480        -6042.579    -6046.983        4.403    34.9
0.0485        -6042.524    -6046.953        4.429    35.1
0.0490        -6042.454    -6046.924        4.470    35.5
0.0495        -6042.418    -6046.894        4.476    35.5
0.0500        -6042.316    -6046.865        4.548    36.1
0.0505        -6042.222    -6046.835        4.613    36.6
0.0510        -6042.173    -6046.804        4.631    36.7
0.0515        -6042.101    -6046.774        4.674    37.1
0.0520        -6042.013    -6046.744        4.731    37.5
0.0525        -6041.961    -6046.714        4.754    37.7
0.0530        -6041.908    -6046.685        4.777    37.9
0.0535        -6041.872    -6046.654        4.782    37.9
0.0540        -6041.825    -6046.623        4.798    38.1
0.0545        -6041.759    -6046.591        4.833    38.3
0.0550        -6041.701    -6046.559        4.858    38.6
0.0555        -6041.620    -6046.527        4.907    38.9
0.0560        -6041.561    -6046.495        4.934    39.1
0.0565        -6041.484    -6046.462        4.978    39.5
0.0570        -6041.465    -6046.429        4.964    39.4
0.0575        -6041.427    -6046.396        4.970    39.4
0.0580        -6041.375    -6046.363        4.988    39.6
0.0585        -6041.350    -6046.330        4.980    39.5
0.0590        -6041.271    -6046.297        5.026    39.9
0.0595        -6041.197    -6046.264        5.066    40.2
0.0600        -6041.148    -6046.230        5.082    40.3
0.0605        -6041.068    -6046.197        5.129    40.7
0.0610        -6041.016    -6046.163        5.147    40.8
0.0615        -6040.936    -6046.130        5.194    41.2
0.0620        -6040.876    -6046.097        5.221    41.4
0.0625        -6040.781    -6046.064        5.283    41.9
0.0630        -6040.714    -6046.031        5.317    42.2
0.0635        -6040.675    -6045.998        5.323    42.2
0.0640        -6040.655    -6045.966        5.311    42.1
0.0645        -6040.601    -6045.932        5.331    42.3
0.0650        -6040.551    -6045.899        5.348    42.4
0.0655        -6040.483    -6045.865        5.383    42.7
0.0660        -6040.424    -6045.832        5.407    42.9
0.0665        -6040.360    -6045.799        5.439    43.2
0.0670        -6040.306    -6045.765        5.459    43.3
0.0675        -6040.269    -6045.732        5.463    43.3
0.0680        -6040.249    -6045.698        5.449    43.2
0.0685        -6040.204    -6045.666        5.462    43.3
0.0690        -6040.150    -6045.633        5.483    43.5
0.0695        -6040.064    -6045.601        5.537    43.9
0.0700        -6040.005    -6045.569        5.564    44.2
0.0705        -6039.932    -6045.538        5.607    44.5
0.0710        -6039.859    -6045.507        5.649    44.8
0.0715        -6039.779    -6045.476        5.696    45.2
0.0720        -6039.697    -6045.443        5.746    45.6
0.0725        -6039.594    -6045.411        5.818    46.2
0.0730        -6039.540    -6045.380        5.840    46.3
0.0735        -6039.503    -6045.349        5.846    46.4
0.0740        -6039.433    -6045.318        5.885    46.7
0.0745        -6039.420    -6045.287        5.867    46.6
0.0750        -6039.341    -6045.257        5.917    46.9
0.0755        -6039.263    -6045.228        5.966    47.3
0.0760        -6039.200    -6045.199        5.999    47.6
0.0765        -6039.123    -6045.171        6.048    48.0
0.0770        -6039.098    -6045.142        6.044    48.0
0.0775        -6038.987    -6045.112        6.125    48.6
0.0780        -6038.876    -6045.083        6.207    49.3
0.0785        -6038.845    -6045.052        6.207    49.3
0.0790        -6038.799    -6045.021        6.222    49.4
0.0795        -6038.720    -6044.989        6.269    49.7
0.0800        -6038.689    -6044.957        6.268    49.7
0.0805        -6038.665    -6044.924        6.259    49.7
0.0810        -6038.625    -6044.892        6.266    49.7
0.0815        -6038.565    -6044.858        6.294    49.9
0.0820        -6038.498    -6044.824        6.327    50.2
0.0825        -6038.460    -6044.789        6.329    50.2
0.0830        -6038.433    -6044.754        6.322    50.2
0.0835        -6038.385    -6044.719        6.334    50.3
0.0840        -6038.312    -6044.682        6.370    50.5
0.0845        -6038.305    -6044.646        6.341    50.3
0.0850        -6038.250    -6044.610        6.360    50.5
0.0855        -6038.175    -6044.574        6.399    50.8
0.0860        -6038.111    -6044.537        6.426    51.0
0.0865        -6038.035    -6044.501        6.466    51.3
0.0870        -6037.999    -6044.464        6.465    51.3
0.0875        -6037.904    -6044.427        6.523    51.8
0.0880        -6037.863    -6044.391        6.528    51.8
0.0885        -6037.796    -6044.355        6.560    52.0
0.0890        -6037.736    -6044.320        6.584    52.2
0.0895        -6037.686    -6044.285        6.599    52.4
0.0900        -6037.644    -6044.250        6.606    52.4
0.0905        -6037.546    -6044.215        6.668    52.9
0.0910        -6037.502    -6044.180        6.678    53.0
0.0915        -6037.469    -6044.145        6.676    53.0
0.0920        -6037.397    -6044.111        6.714    53.3
0.0925        -6037.297    -6044.078        6.781    53.8
0.0930        -6037.226    -6044.045        6.819    54.1
0.0935        -6037.119    -6044.011        6.892    54.7
0.0940        -6037.034    -6043.978        6.944    55.1
0.0945        -6036.955    -6043.943        6.988    55.5
0.0950        -6036.893    -6043.908        7.015    55.7
0.0955        -6036.887    -6043.874        6.987    55.4
0.0960        -6036.887    -6043.840        6.953    55.2
0.0965        -6036.842    -6043.806        6.963    55.3
0.0970        -6036.800    -6043.771        6.971    55.3
0.0975        -6036.751    -6043.737        6.986    55.4
0.0980        -6036.700    -6043.704        7.004    55.6
0.0985        -6036.637    -6043.671        7.033    55.8
0.0990        -6036.550    -6043.637        7.087    56.2
0.0995        -6036.484    -6043.605        7.121    56.5
0.1000        -6036.348    -6043.571        7.223    57.3
0.1005        -6036.271    -6043.537        7.267    57.7
0.1010        -6036.240    -6043.504        7.264    57.6
0.1015        -6036.197    -6043.472        7.275    57.7
0.1020        -6036.113    -6043.439        7.326    58.1
0.1025        -6036.056    -6043.407        7.350    58.3
0.1030        -6035.992    -6043.374        7.382    58.6
0.1035        -6035.895    -6043.342        7.447    59.1
0.1040        -6035.862    -6043.309        7.447    59.1
0.1045        -6035.805    -6043.275        7.471    59.3
0.1050        -6035.766    -6043.242        7.475    59.3
0.1055        -6035.688    -6043.208        7.520    59.7
0.1060        -6035.620    -6043.174        7.553    59.9
0.1065        -6035.563    -6043.139        7.576    60.1
0.1070        -6035.515    -6043.104        7.590    60.2
0.1075        -6035.387    -6043.068        7.681    60.9
0.1080        -6035.325    -6043.032        7.707    61.1
0.1085        -6035.260    -6042.994        7.735    61.4
0.1090        -6035.229    -6042.956        7.727    61.3
0.1095        -6035.182    -6042.917        7.735    61.4
0.1100        -6035.114    -6042.879        7.764    61.6
0.1105        -6035.026    -6042.839        7.813    62.0
0.1110        -6034.938    -6042.799        7.861    62.4
0.1115        -6034.837    -6042.757        7.920    62.8
0.1120        -6034.796    -6042.716        7.920    62.8
0.1125        -6034.747    -6042.676        7.929    62.9
0.1130        -6034.727    -6042.635        7.908    62.7
0.1135        -6034.649    -6042.594        7.944    63.0
0.1140        -6034.568    -6042.553        7.985    63.4
0.1145        -6034.526    -6042.512        7.985    63.4
0.1150        -6034.434    -6042.470        8.036    63.8
0.1155        -6034.384    -6042.427        8.043    63.8
0.1160        -6034.359    -6042.385        8.026    63.7
0.1165        -6034.330    -6042.342        8.012    63.6
0.1170        -6034.288    -6042.299        8.011    63.6
0.1175        -6034.213    -6042.255        8.041    63.8
0.1180        -6034.098    -6042.210        8.113    64.4
0.1185        -6034.011    -6042.166        8.155    64.7
0.1190        -6033.995    -6042.123        8.128    64.5
0.1195        -6033.929    -6042.079        8.150    64.7
0.1200        -6033.857    -6042.036        8.179    64.9
0.1205        -6033.764    -6041.994        8.230    65.3
0.1210        -6033.666    -6041.951        8.285    65.7
0.1215        -6033.617    -6041.909        8.292    65.8
0.1220        -6033.604    -6041.867        8.263    65.6
0.1225        -6033.473    -6041.824        8.350    66.3
0.1230        -6033.397    -6041.780        8.383    66.5
0.1235        -6033.382    -6041.738        8.356    66.3
0.1240        -6033.328    -6041.696        8.368    66.4
0.1245        -6033.261    -6041.655        8.393    66.6
0.1250        -6033.188    -6041.615        8.428    66.9
0.1255        -6033.116    -6041.577        8.461    67.1
0.1260        -6033.059    -6041.539        8.480    67.3
0.1265        -6032.982    -6041.501        8.519    67.6
0.1270        -6032.960    -6041.464        8.503    67.5
0.1275        -6032.922    -6041.426        8.504    67.5
0.1280        -6032.790    -6041.389        8.599    68.2
0.1285        -6032.717    -6041.351        8.634    68.5
0.1290        -6032.616    -6041.314        8.698    69.0
0.1295        -6032.577    -6041.279        8.702    69.0
0.1300        -6032.498    -6041.244        8.746    69.4
0.1305        -6032.465    -6041.210        8.745    69.4
0.1310        -6032.431    -6041.176        8.745    69.4
0.1315        -6032.350    -6041.142        8.792    69.8
0.1320        -6032.302    -6041.108        8.806    69.9
0.1325        -6032.269    -6041.075        8.805    69.9
0.1330        -6032.237    -6041.042        8.805    69.9
0.1335        -6032.158    -6041.011        8.852    70.2
0.1340        -6032.111    -6040.980        8.869    70.4
0.1345        -6032.042    -6040.950        8.908    70.7
0.1350        -6031.932    -6040.921        8.989    71.3
0.1355        -6031.888    -6040.892        9.004    71.4
0.1360        -6031.896    -6040.862        8.966    71.1
0.1365        -6031.846    -6040.832        8.987    71.3
0.1370        -6031.779    -6040.804        9.026    71.6
0.1375        -6031.724    -6040.776        9.052    71.8
