Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -6045.444    -6045.444        0.000     0.0
0.0005        -6045.426    -6045.447        0.021     0.2
0.0010        -6045.408    -6045.455        0.047     0.4
0.0015        -6045.392    -6045.469        0.077     0.6
0.0020        -6045.372    -6045.488        0.116     0.9
0.0025        -6045.352    -6045.512        0.159     1.3
0.0030        -6045.333    -6045.541        0.208     1.6
0.0035        -6045.318    -6045.575        0.257     2.0
0.0040        -6045.297    -6045.613        0.316     2.5
0.0045        -6045.275    -6045.656        0.381     3.0
0.0050        -6045.251    -6045.702        0.451     3.6
0.0055        -6045.228    -6045.752        0.524     4.2
0.0060        -6045.204    -6045.805        0.601     4.8
0.0065        -6045.190    -6045.861        0.671     5.3
0.0070        -6045.176    -6045.920        0.744     5.9
0.0075        -6045.160    -6045.980        0.820     6.5
0.0080        -6045.140    -6046.042        0.902     7.2
0.0085        -6045.124    -6046.106        0.982     7.8
0.0090        -6045.107    -6046.171        1.064     8.4
0.0095        -6045.078    -6046.236        1.159     9.2
0.0100        -6045.066    -6046.302        1.236     9.8
0.0105        -6045.048    -6046.368        1.320    10.5
0.0110        -6045.030    -6046.433        1.403    11.1
0.0115        -6045.004    -6046.498        1.494    11.9
0.0120        -6044.983    -6046.562        1.580    12.5
0.0125        -6044.972    -6046.625        1.653    13.1
0.0130        -6044.954    -6046.686        1.731    13.7
0.0135        -6044.921    -6046.745        1.824    14.5
0.0140        -6044.909    -6046.802        1.893    15.0
0.0145        -6044.879    -6046.856        1.977    15.7
0.0150        -6044.866    -6046.908        2.042    16.2
0.0155        -6044.859    -6046.957        2.098    16.6
0.0160        -6044.839    -6047.003        2.164    17.2
0.0165        -6044.828    -6047.045        2.217    17.6
0.0170        -6044.817    -6047.084        2.267    18.0
0.0175        -6044.799    -6047.119        2.320    18.4
0.0180        -6044.795    -6047.150        2.355    18.7
0.0185        -6044.787    -6047.177        2.389    19.0
0.0190        -6044.772    -6047.199        2.427    19.3
0.0195        -6044.750    -6047.217        2.467    19.6
0.0200        -6044.733    -6047.231        2.498    19.8
0.0205        -6044.708    -6047.241        2.532    20.1
0.0210        -6044.692    -6047.247        2.554    20.3
0.0215        -6044.665    -6047.248        2.583    20.5
0.0220        -6044.659    -6047.246        2.587    20.5
0.0225        -6044.635    -6047.240        2.606    20.7
0.0230        -6044.621    -6047.231        2.610    20.7
0.0235        -6044.618    -6047.218        2.601    20.6
0.0240        -6044.600    -6047.203        2.603    20.7
0.0245        -6044.589    -6047.185        2.595    20.6
0.0250        -6044.584    -6047.165        2.580    20.5
0.0255        -6044.572    -6047.143        2.570    20.4
0.0260        -6044.548    -6047.119        2.571    20.4
0.0265        -6044.551    -6047.094        2.543    20.2
0.0270        -6044.530    -6047.067        2.537    20.1
0.0275        -6044.513    -6047.040        2.526    20.0
0.0280        -6044.500    -6047.011        2.511    19.9
0.0285        -6044.474    -6046.982        2.508    19.9
0.0290        -6044.456    -6046.952        2.496    19.8
0.0295        -6044.430    -6046.921        2.491    19.8
0.0300        -6044.414    -6046.890        2.476    19.6
0.0305        -6044.396    -6046.858        2.462    19.5
0.0310        -6044.391    -6046.826        2.435    19.3
0.0315        -6044.367    -6046.794        2.428    19.3
0.0320        -6044.345    -6046.763        2.418    19.2
0.0325        -6044.331    -6046.731        2.400    19.0
0.0330        -6044.319    -6046.701        2.382    18.9
0.0335        -6044.310    -6046.671        2.361    18.7
0.0340        -6044.292    -6046.642        2.350    18.6
0.0345        -6044.272    -6046.614        2.342    18.6
0.0350        -6044.254    -6046.589        2.335    18.5
0.0355        -6044.213    -6046.566        2.353    18.7
0.0360        -6044.186    -6046.545        2.360    18.7
0.0365        -6044.162    -6046.528        2.366    18.8
0.0370        -6044.156    -6046.513        2.357    18.7
0.0375        -6044.133    -6046.502        2.369    18.8
0.0380        -6044.119    -6046.494        2.375    18.8
0.0385        -6044.100    -6046.490        2.390    19.0
0.0390        -6044.089    -6046.490        2.401    19.1
0.0395        -6044.051    -6046.494        2.443    19.4
0.0400        -6044.038    -6046.501        2.463    19.5
0.0405        -6044.026    -6046.512        2.486    19.7
0.0410        -6044.017    -6046.526        2.509    19.9
0.0415        -6043.992    -6046.544        2.552    20.2
0.0420        -6043.980    -6046.563        2.584    20.5
0.0425        -6043.966    -6046.585        2.619    20.8
0.0430        -6043.959    -6046.609        2.650    21.0
0.0435        -6043.950    -6046.635        2.685    21.3
0.0440        -6043.920    -6046.661        2.741    21.8
0.0445        -6043.899    -6046.688        2.789    22.1
0.0450        -6043.898    -6046.715        2.817    22.4
0.0455        -6043.868    -6046.742        2.874    22.8
0.0460        -6043.856    -6046.769        2.913    23.1
0.0465        -6043.848    -6046.795        2.947    23.4
0.0470        -6043.844    -6046.819        2.975    23.6
0.0475        -6043.825    -6046.843        3.018    23.9
0.0480        -6043.810    -6046.865        3.055    24.2
0.0485        -6043.795    -6046.886        3.090    24.5
0.0490        -6043.779    -6046.905        3.125    24.8
0.0495        -6043.771    -6046.922        3.151    25.0
0.0500        -6043.754    -6046.937        3.183    25.3
0.0505        -6043.736    -6046.951        3.214    25.5
0.0510        -6043.730    -6046.962        3.232    25.6
0.0515        -6043.713    -6046.971        3.259    25.9
0.0520        -6043.686    -6046.979        3.292    26.1
0.0525        -6043.692    -6046.984        3.292    26.1
0.0530        -6043.658    -6046.987        3.329    26.4
0.0535        -6043.645    -6046.988        3.342    26.5
0.0540        -6043.628    -6046.986        3.358    26.6
0.0545        -6043.596    -6046.983        3.386    26.9
0.0550        -6043.588    -6046.976        3.389    26.9
0.0555        -6043.570    -6046.968        3.397    27.0
0.0560        -6043.574    -6046.957        3.383    26.8
0.0565        -6043.552    -6046.943        3.391    26.9
0.0570        -6043.538    -6046.926        3.388    26.9
0.0575        -6043.512    -6046.907        3.395    26.9
0.0580        -6043.497    -6046.885        3.388    26.9
0.0585        -6043.489    -6046.860        3.372    26.8
0.0590        -6043.465    -6046.833        3.368    26.7
0.0595        -6043.434    -6046.803        3.369    26.7
0.0600        -6043.405    -6046.771        3.366    26.7
0.0605        -6043.379    -6046.738        3.359    26.7
0.0610        -6043.364    -6046.703        3.338    26.5
0.0615        -6043.365    -6046.667        3.302    26.2
0.0620        -6043.352    -6046.630        3.278    26.0
0.0625        -6043.326    -6046.593        3.267    25.9
0.0630        -6043.310    -6046.556        3.247    25.8
0.0635        -6043.303    -6046.520        3.217    25.5
0.0640        -6043.280    -6046.484        3.204    25.4
0.0645        -6043.243    -6046.450        3.206    25.4
0.0650        -6043.233    -6046.418        3.185    25.3
0.0655        -6043.208    -6046.388        3.180    25.2
0.0660        -6043.188    -6046.361        3.173    25.2
0.0665        -6043.172    -6046.336        3.165    25.1
0.0670        -6043.158    -6046.316        3.158    25.1
0.0675        -6043.136    -6046.299        3.163    25.1
0.0680        -6043.139    -6046.285        3.146    25.0
0.0685        -6043.127    -6046.275        3.147    25.0
0.0690        -6043.120    -6046.267        3.147    25.0
0.0695        -6043.100    -6046.264        3.164    25.1
0.0700        -6043.094    -6046.263        3.169    25.1
0.0705        -6043.078    -6046.265        3.187    25.3
0.0710        -6043.058    -6046.271        3.212    25.5
0.0715        -6043.023    -6046.279        3.256    25.8
0.0720        -6042.998    -6046.289        3.290    26.1
0.0725        -6042.987    -6046.300        3.314    26.3
0.0730        -6042.972    -6046.314        3.342    26.5
0.0735        -6042.962    -6046.329        3.367    26.7
0.0740        -6042.940    -6046.345        3.405    27.0
0.0745        -6042.918    -6046.361        3.444    27.3
0.0750        -6042.902    -6046.378        3.476    27.6
0.0755        -6042.903    -6046.394        3.491    27.7
0.0760        -6042.881    -6046.411        3.530    28.0
0.0765        -6042.848    -6046.427        3.578    28.4
0.0770        -6042.835    -6046.442        3.607    28.6
0.0775        -6042.808    -6046.456        3.648    28.9
0.0780        -6042.804    -6046.469        3.665    29.1
0.0785        -6042.779    -6046.481        3.702    29.4
0.0790        -6042.761    -6046.491        3.730    29.6
0.0795        -6042.742    -6046.499        3.757    29.8
0.0800        -6042.729    -6046.505        3.776    30.0
0.0805        -6042.719    -6046.509        3.790    30.1
0.0810        -6042.701    -6046.510        3.809    30.2
0.0815        -6042.701    -6046.509        3.808    30.2
0.0820        -6042.690    -6046.505        3.815    30.3
0.0825        -6042.658    -6046.499        3.841    30.5
0.0830        -6042.645    -6046.490        3.845    30.5
0.0835        -6042.628    -6046.480        3.852    30.6
0.0840        -6042.615    -6046.466        3.852    30.6
0.0845        -6042.589    -6046.451        3.862    30.6
0.0850        -6042.584    -6046.433        3.849    30.5
0.0855        -6042.562    -6046.414        3.851    30.6
0.0860        -6042.547    -6046.392        3.845    30.5
0.0865        -6042.530    -6046.370        3.839    30.5
0.0870        -6042.515    -6046.346        3.830    30.4
0.0875        -6042.503    -6046.321        3.818    30.3
0.0880        -6042.485    -6046.296        3.811    30.2
0.0885        -6042.473    -6046.269        3.796    30.1
0.0890        -6042.451    -6046.243        3.792    30.1
0.0895        -6042.448    -6046.216        3.768    29.9
0.0900        -6042.440    -6046.189        3.750    29.8
0.0905        -6042.436    -6046.163        3.727    29.6
