Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -6049.321    -6049.321        0.000     0.0
0.0005        -6049.302    -6049.321        0.019     0.2
0.0010        -6049.283    -6049.322        0.039     0.3
0.0015        -6049.264    -6049.323        0.059     0.5
0.0020        -6049.247    -6049.325        0.078     0.6
0.0025        -6049.228    -6049.327        0.099     0.8
0.0030        -6049.210    -6049.329        0.119     0.9
0.0035        -6049.189    -6049.332        0.143     1.1
0.0040        -6049.170    -6049.335        0.165     1.3
0.0045        -6049.148    -6049.339        0.191     1.5
0.0050        -6049.126    -6049.343        0.217     1.7
0.0055        -6049.111    -6049.347        0.236     1.9
0.0060        -6049.092    -6049.352        0.260     2.1
0.0065        -6049.073    -6049.357        0.283     2.2
0.0070        -6049.053    -6049.361        0.309     2.5
0.0075        -6049.031    -6049.366        0.335     2.7
0.0080        -6049.020    -6049.372        0.351     2.8
0.0085        -6049.004    -6049.377        0.372     3.0
0.0090        -6048.988    -6049.382        0.393     3.1
0.0095        -6048.966    -6049.387        0.421     3.3
0.0100        -6048.949    -6049.392        0.442     3.5
0.0105        -6048.935    -6049.396        0.462     3.7
0.0110        -6048.919    -6049.401        0.482     3.8
0.0115        -6048.896    -6049.405        0.509     4.0
0.0120        -6048.876    -6049.409        0.533     4.2
0.0125        -6048.851    -6049.413        0.562     4.5
0.0130        -6048.828    -6049.416        0.587     4.7
0.0135        -6048.812    -6049.419        0.607     4.8
0.0140        -6048.791    -6049.421        0.630     5.0
0.0145        -6048.770    -6049.423        0.653     5.2
0.0150        -6048.751    -6049.425        0.674     5.3
0.0155        -6048.733    -6049.426        0.693     5.5
0.0160        -6048.718    -6049.427        0.709     5.6
0.0165        -6048.709    -6049.428        0.718     5.7
0.0170        -6048.689    -6049.428        0.739     5.9
0.0175        -6048.670    -6049.427        0.758     6.0
0.0180        -6048.659    -6049.426        0.767     6.1
0.0185        -6048.640    -6049.425        0.785     6.2
0.0190        -6048.625    -6049.423        0.797     6.3
0.0195        -6048.606    -6049.420        0.814     6.5
0.0200        -6048.594    -6049.417        0.822     6.5
0.0205        -6048.574    -6049.413        0.838     6.7
0.0210        -6048.555    -6049.408        0.853     6.8
0.0215        -6048.532    -6049.404        0.872     6.9
0.0220        -6048.512    -6049.398        0.886     7.0
0.0225        -6048.487    -6049.393        0.906     7.2
0.0230        -6048.473    -6049.387        0.914     7.3
0.0235        -6048.450    -6049.380        0.930     7.4
0.0240        -6048.427    -6049.373        0.947     7.5
0.0245        -6048.409    -6049.366        0.957     7.6
0.0250        -6048.382    -6049.359        0.977     7.7
0.0255        -6048.357    -6049.351        0.994     7.9
0.0260        -6048.339    -6049.343        1.005     8.0
0.0265        -6048.325    -6049.335        1.010     8.0
0.0270        -6048.303    -6049.327        1.023     8.1
0.0275        -6048.278    -6049.318        1.040     8.3
0.0280        -6048.261    -6049.310        1.049     8.3
0.0285        -6048.246    -6049.301        1.055     8.4
0.0290        -6048.227    -6049.293        1.066     8.5
0.0295        -6048.216    -6049.284        1.068     8.5
0.0300        -6048.201    -6049.275        1.074     8.5
0.0305        -6048.188    -6049.267        1.079     8.6
0.0310        -6048.166    -6049.258        1.092     8.7
0.0315        -6048.141    -6049.249        1.109     8.8
0.0320        -6048.118    -6049.241        1.123     8.9
0.0325        -6048.096    -6049.233        1.136     9.0
0.0330        -6048.081    -6049.225        1.144     9.1
0.0335        -6048.058    -6049.217        1.158     9.2
0.0340        -6048.031    -6049.209        1.177     9.3
0.0345        -6048.013    -6049.201        1.188     9.4
0.0350        -6047.998    -6049.194        1.195     9.5
0.0355        -6047.975    -6049.187        1.211     9.6
0.0360        -6047.962    -6049.180        1.218     9.7
0.0365        -6047.943    -6049.173        1.230     9.8
0.0370        -6047.924    -6049.167        1.243     9.9
0.0375        -6047.906    -6049.161        1.255    10.0
0.0380        -6047.891    -6049.155        1.264    10.0
0.0385        -6047.861    -6049.150        1.289    10.2
0.0390        -6047.838    -6049.145        1.307    10.4
0.0395        -6047.818    -6049.141        1.323    10.5
0.0400        -6047.800    -6049.137        1.337    10.6
0.0405        -6047.790    -6049.133        1.343    10.7
0.0410        -6047.762    -6049.129        1.367    10.9
0.0415        -6047.742    -6049.126        1.384    11.0
0.0420        -6047.737    -6049.123        1.386    11.0
0.0425        -6047.714    -6049.120        1.406    11.2
0.0430        -6047.694    -6049.118        1.424    11.3
0.0435        -6047.675    -6049.116        1.441    11.4
0.0440        -6047.654    -6049.114        1.460    11.6
0.0445        -6047.627    -6049.112        1.485    11.8
0.0450        -6047.616    -6049.111        1.494    11.9
0.0455        -6047.599    -6049.109        1.510    12.0
0.0460        -6047.583    -6049.108        1.525    12.1
0.0465        -6047.579    -6049.107        1.529    12.1
0.0470        -6047.560    -6049.107        1.547    12.3
0.0475        -6047.543    -6049.107        1.564    12.4
0.0480        -6047.532    -6049.107        1.575    12.5
0.0485        -6047.511    -6049.107        1.595    12.7
0.0490        -6047.488    -6049.107        1.619    12.8
0.0495        -6047.463    -6049.107        1.644    13.0
0.0500        -6047.435    -6049.108        1.673    13.3
0.0505        -6047.409    -6049.109        1.700    13.5
0.0510        -6047.397    -6049.109        1.713    13.6
0.0515        -6047.378    -6049.110        1.732    13.7
0.0520        -6047.352    -6049.111        1.758    14.0
0.0525        -6047.330    -6049.111        1.781    14.1
0.0530        -6047.327    -6049.111        1.784    14.2
0.0535        -6047.305    -6049.112        1.807    14.3
0.0540        -6047.296    -6049.112        1.816    14.4
0.0545        -6047.265    -6049.112        1.847    14.7
0.0550        -6047.239    -6049.112        1.874    14.9
0.0555        -6047.219    -6049.112        1.893    15.0
0.0560        -6047.216    -6049.112        1.896    15.0
0.0565        -6047.200    -6049.111        1.911    15.2
0.0570        -6047.180    -6049.111        1.931    15.3
0.0575        -6047.164    -6049.110        1.946    15.4
0.0580        -6047.136    -6049.109        1.973    15.7
0.0585        -6047.124    -6049.107        1.983    15.7
0.0590        -6047.105    -6049.105        2.000    15.9
0.0595        -6047.090    -6049.102        2.013    16.0
0.0600        -6047.067    -6049.099        2.032    16.1
0.0605        -6047.037    -6049.096        2.059    16.3
0.0610        -6047.025    -6049.093        2.068    16.4
0.0615        -6047.014    -6049.089        2.075    16.5
0.0620        -6046.994    -6049.084        2.090    16.6
0.0625        -6046.974    -6049.079        2.106    16.7
0.0630        -6046.970    -6049.074        2.104    16.7
