Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -80.6576     -80.6576       0.0000     0.0
0.0100         -80.6502     -80.6587       0.0085     5.0
0.0200         -80.6433     -80.6577       0.0144     8.6
0.0300         -80.6396     -80.6546       0.0151     9.0
0.0400         -80.6301     -80.6546       0.0245    14.6
0.0500         -80.6174     -80.6520       0.0346    20.6
0.0600         -80.6097     -80.6476       0.0378    22.5
0.0700         -80.6068     -80.6495       0.0427    25.4
0.0800         -80.5919     -80.6408       0.0489    29.1
0.0900         -80.5937     -80.6300       0.0363    21.6
0.1000         -80.5942     -80.6301       0.0359    21.3
0.1100         -80.5881     -80.6323       0.0443    26.3
0.1200         -80.5841     -80.6338       0.0497    29.6
0.1300         -80.5817     -80.6330       0.0513    30.5
0.1400         -80.5684     -80.6189       0.0505    30.1
0.1500         -80.5548     -80.6054       0.0506    30.1
0.1600         -80.5580     -80.6102       0.0522    31.1
0.1700         -80.5622     -80.6058       0.0435    25.9
0.1800         -80.5600     -80.5991       0.0391    23.2
0.1900         -80.5576     -80.6165       0.0589    35.1
0.2000         -80.5630     -80.6217       0.0587    34.9
0.2100         -80.5601     -80.6196       0.0595    35.4
0.2200         -80.5570     -80.6339       0.0769    45.7
0.2300         -80.5576     -80.6327       0.0752    44.7
0.2400         -80.5636     -80.6074       0.0437    26.0
0.2500         -80.5621     -80.6069       0.0449    26.7
0.2600         -80.5684     -80.6166       0.0482    28.7
0.2700         -80.5718     -80.6201       0.0484    28.8
0.2800         -80.5602     -80.6240       0.0638    37.9
0.2900         -80.5493     -80.6228       0.0735    43.8
0.3000         -80.5487     -80.6121       0.0634    37.7
0.3100         -80.5466     -80.6142       0.0675    40.2
0.3200         -80.5367     -80.6223       0.0857    51.0
0.3300         -80.5590     -80.6014       0.0424    25.2
0.3400         -80.5575     -80.5981       0.0406    24.1
0.3500         -80.5578     -80.6190       0.0611    36.4
0.3600         -80.5631     -80.6135       0.0504    30.0
0.3700         -80.5647     -80.6068       0.0421    25.1
0.3800         -80.5681     -80.6207       0.0526    31.3
0.3900         -80.5660     -80.6260       0.0600    35.7
0.4000         -80.5715     -80.6164       0.0449    26.7
0.4100         -80.5685     -80.6165       0.0479    28.5
0.4200         -80.5699     -80.6199       0.0500    29.8
0.4300         -80.5760     -80.6194       0.0434    25.8
0.4400         -80.5603     -80.6254       0.0651    38.7
0.4500         -80.5638     -80.6194       0.0556    33.1
0.4600         -80.5699     -80.6120       0.0420    25.0
0.4700         -80.5669     -80.6161       0.0493    29.3
0.4800         -80.5688     -80.6251       0.0562    33.5
0.4900         -80.5740     -80.6261       0.0521    31.0
