      Step     Time          Energy          fmax
BFGS:    0 13:51:58      -73.265140        1.941318
BFGS:    1 13:51:58      -73.359344        1.793632
BFGS:    2 13:51:59      -73.749370        0.722240
BFGS:    3 13:51:59      -73.796038        0.543181
BFGS:    4 13:51:59      -73.808941        0.543607
BFGS:    5 13:51:59      -73.851897        0.275889
BFGS:    6 13:51:59      -73.859667        0.219239
BFGS:    7 13:51:59      -73.862841        0.249844
BFGS:    8 13:51:59      -73.866355        0.233761
BFGS:    9 13:51:59      -73.871904        0.151186
BFGS:   10 13:52:00      -73.875652        0.098487
BFGS:   11 13:52:00      -73.877164        0.090461
BFGS:   12 13:52:00      -73.877652        0.081178
BFGS:   13 13:52:00      -73.878191        0.064019
BFGS:   14 13:52:00      -73.879146        0.068752
BFGS:   15 13:52:00      -73.880286        0.069054
BFGS:   16 13:52:00      -73.881129        0.056878
BFGS:   17 13:52:00      -73.881558        0.064423
BFGS:   18 13:52:00      -73.881890        0.056106
BFGS:   19 13:52:01      -73.882281        0.058246
BFGS:   20 13:52:01      -73.882604        0.054518
BFGS:   21 13:52:01      -73.882770        0.035284
BFGS:   22 13:52:01      -73.882847        0.024507
BFGS:   23 13:52:01      -73.882907        0.016754
BFGS:   24 13:52:01      -73.882952        0.011056
BFGS:   25 13:52:01      -73.882971        0.007224
BFGS:   26 13:52:01      -73.882978        0.006779
BFGS:   27 13:52:01      -73.882983        0.005991
BFGS:   28 13:52:02      -73.882991        0.005051
BFGS:   29 13:52:02      -73.882997        0.003870
